=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
 264  theta_z     Free          -0.000391              0.000
 265      u_x     Free              0.082              0.000
 266      u_y     Free             -9.430           -220.000
 267      u_z     Free              0.025              0.000
 268  theta_x     Free          -0.000000           -326.667
 269  theta_y     Free           0.000002              0.000
 270  theta_z     Free          -0.000393              0.000
 271      u_x     Free              6.344              0.000
 272      u_y     Free             -9.664            -80.000
 273      u_z     Free             46.674              0.000
 274  theta_x     Free          -0.000000              0.000
 275  theta_y     Free           0.000002              0.000
 276  theta_z     Free          -0.000391              0.000
 277      u_x     Free              0.097              0.000
 278      u_y     Free            -12.570           -220.000
 279      u_z     Free              0.032              0.000
 280  theta_x     Free          -0.000000           -326.667
 281  theta_y     Free           0.000002              0.000
 282  theta_z     Free          -0.000392              0.000
 283      u_x     Free              6.357              0.000
 284      u_y     Free            -12.789            -80.000
 285      u_z     Free             46.677              0.000
 286  theta_x     Free          -0.000000              0.000
 287  theta_y     Free           0.000002              0.000
 288  theta_z     Free          -0.000391              0.000
 289      u_x     Free              0.111              0.000
 290      u_y     Free            -15.707           -220.000
 291      u_z     Free              0.037              0.000
 292  theta_x     Free          -0.000000           -326.667
 293  theta_y     Free           0.000002              0.000
 294  theta_z     Free          -0.000392              0.000
 295      u_x     Free              6.368              0.000
 296      u_y     Free            -15.914            -80.000
 297      u_z     Free             46.676              0.000
 298  theta_x     Free          -0.000000              0.000
 299  theta_y     Free           0.000002              0.000
 300  theta_z     Free          -0.000391              0.000
 301      u_x     Free              0.125              0.000
 302      u_y     Free            -18.841           -220.000
 303      u_z     Free              0.042              0.000
 304  theta_x     Free          -0.000000           -326.667
 305  theta_y     Free           0.000002              0.000
 306  theta_z     Free          -0.000392              0.000
 307      u_x     Free              6.379              0.000
 308      u_y     Free            -19.039            -80.000
 309      u_z     Free             46.676              0.000
 310  theta_x     Free          -0.000000              0.000
 311  theta_y     Free           0.000002              0.000
 312  theta_z     Free          -0.000391              0.000
 313      u_x     Free              0.139              0.000
 314      u_y     Free            -21.972           -220.000
 315      u_z     Free              0.047              0.000
 316  theta_x     Free          -0.000000           -326.667
 317  theta_y     Free           0.000002              0.000
 318  theta_z     Free          -0.000391              0.000
 319      u_x     Free              6.388              0.000
 320      u_y     Free            -22.164            -80.000
 321      u_z     Free             46.673              0.000
 322  theta_x     Free          -0.000000              0.000
 323  theta_y     Free           0.000002              0.000
 324  theta_z     Free          -0.000391              0.000
 325      u_x     Free              0.153              0.000
 326      u_y     Free            -25.098           -220.000
 327      u_z     Free              0.051              0.000
 328  theta_x     Free          -0.000000           -326.667
 329  theta_y     Free           0.000002              0.000
 330  theta_z     Free          -0.000391              0.000
 331      u_x     Free              6.398              0.000
 332      u_y     Free            -25.288            -80.000
 333      u_z     Free             46.670              0.000
 334  theta_x     Free          -0.000000              0.000
 335  theta_y     Free           0.000002              0.000
 336  theta_z     Free          -0.000391              0.000
 337      u_x     Free              0.167              0.000
 338      u_y     Free            -28.220           -220.000
 339      u_z     Free              0.056              0.000
 340  theta_x     Free          -0.000000           -326.667
 341  theta_y     Free           0.000002              0.000
 342  theta_z     Free          -0.000390              0.000
 343      u_x     Free              6.407              0.000
 344      u_y     Free            -28.413            -80.000
 345      u_z     Free             46.666              0.000
 346  theta_x     Free          -0.000000              0.000
 347  theta_y     Free           0.000002              0.000
 348  theta_z     Free          -0.000391              0.000
 349      u_x     Free              0.181              0.000
 350      u_y     Free            -31.338           -220.000
 351      u_z     Free              0.062              0.000
 352  theta_x     Free          -0.000000           -326.667
 353  theta_y     Free           0.000002              0.000
 354  theta_z     Free          -0.000390              0.000
 355      u_x     Free              6.416              0.000
 356      u_y     Free            -31.537            -80.000
 357      u_z     Free             46.663              0.000
 358  theta_x     Free          -0.000000              0.000
 359  theta_y     Free           0.000002              0.000
 360  theta_z     Free          -0.000390              0.000
 361      u_x     Free              0.197              0.000
 362      u_y     Free            -34.452           -220.000
 363      u_z     Free              0.070              0.000
 364  theta_x     Free           0.000000           -326.667
 365  theta_y     Free           0.000002              0.000
 366  theta_z     Free          -0.000389              0.000
 367      u_x     Free              6.425              0.000
 368      u_y     Free            -34.660            -80.000
 369      u_z     Free             46.659              0.000
 370  theta_x     Free          -0.000000              0.000
 371  theta_y     Free           0.000002              0.000
 372  theta_z     Free          -0.000390              0.000
 373      u_x     Free              0.213              0.000
 374      u_y     Free            -37.562           -220.000
 375      u_z     Free              0.078              0.000
 376  theta_x     Free           0.000000           -326.667
 377  theta_y     Free           0.000002              0.000
 378  theta_z     Free          -0.000389              0.000
 379      u_x     Free              6.435              0.000
 380      u_y     Free            -37.784            -80.000
 381      u_z     Free             46.656              0.000
 382  theta_x     Free          -0.000000              0.000
 383  theta_y     Free           0.000002              0.000
 384  theta_z     Free          -0.000390              0.000
 385      u_x     Free              0.213              0.000
 386      u_y     Free            -40.671           -220.000
 387      u_z     Free              0.059              0.000
 388  theta_x     Free           0.000000           -326.667
 389  theta_y     Free           0.000002              0.000
 390  theta_z     Free          -0.000389              0.000
 391      u_x     Free              6.446              0.000
 392      u_y     Free            -40.907            -80.000
 393      u_z     Free             46.657              0.000
 394  theta_x     Free          -0.000000              0.000
 395  theta_y     Free           0.000002              0.000
 396  theta_z     Free          -0.000390              0.000
 397      u_x     Free              0.213              0.000
 398      u_y     Free            -43.781           -220.000
