=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
 312  theta_z     Free          -0.000376              0.000
 313      u_x     Free              7.743            220.762
 314      u_y     Free            -25.575           -961.600
 315      u_z     Free              1.286            831.293
 316  theta_x     Free          -0.000010              0.000
 317  theta_y     Free           0.000027              0.000
 318  theta_z     Free          -0.000256              0.000
 319      u_x     Free             13.680            220.762
 320      u_y     Free            -23.022            661.600
 321      u_z     Free             22.398            831.293
 322  theta_x     Free          -0.000054              0.000
 323  theta_y     Free           0.000025              0.000
 324  theta_z     Free          -0.000375              0.000
 325      u_x     Free              8.718            220.762
 326      u_y     Free            -28.800          -1268.781
 327      u_z     Free              1.095            831.293
 328  theta_x     Free           0.000024              0.000
 329  theta_y     Free           0.000027              0.000
 330  theta_z     Free          -0.000256              0.000
 331      u_x     Free             14.516            220.762
 332      u_y     Free            -26.019            968.781
 333      u_z     Free             21.979            831.293
 334  theta_x     Free          -0.000054              0.000
 335  theta_y     Free           0.000025              0.000
 336  theta_z     Free          -0.000374              0.000
 337      u_x     Free              9.722            220.762
 338      u_y     Free            -31.570           -961.600
 339      u_z     Free              0.955            831.293
 340  theta_x     Free          -0.000011              0.000
 341  theta_y     Free           0.000027              0.000
 342  theta_z     Free          -0.000256              0.000
 343      u_x     Free             15.315            220.762
 344      u_y     Free            -29.011            661.600
 345      u_z     Free             21.495            831.293
 346  theta_x     Free          -0.000054              0.000
 347  theta_y     Free           0.000025              0.000
 348  theta_z     Free          -0.000374              0.000
 349      u_x     Free             10.726            220.762
 350      u_y     Free            -34.900          -1268.781
 351      u_z     Free              0.815            831.293
 352  theta_x     Free           0.000029              0.000
 353  theta_y     Free           0.000027              0.000
 354  theta_z     Free          -0.000256              0.000
 355      u_x     Free             16.113            220.762
 356      u_y     Free            -31.999            968.781
 357      u_z     Free             21.010            831.293
 358  theta_x     Free          -0.000053              0.000
 359  theta_y     Free           0.000025              0.000
 360  theta_z     Free          -0.000373              0.000
 361      u_x     Free             11.825            220.762
 362      u_y     Free            -37.580           -961.600
 363      u_z     Free              0.842            831.293
 364  theta_x     Free          -0.000017              0.000
 365  theta_y     Free           0.000027              0.000
 366  theta_z     Free          -0.000255              0.000
 367      u_x     Free             16.778            220.762
 368      u_y     Free            -34.982            661.600
 369      u_z     Free             20.291            831.293
 370  theta_x     Free          -0.000053              0.000
 371  theta_y     Free           0.000025              0.000
 372  theta_z     Free          -0.000373              0.000
 373      u_x     Free             12.924           -786.479
 374      u_y     Free            -41.825          -1016.971
 375      u_z     Free              0.868            831.293
 376  theta_x     Free           0.000000              0.000
 377  theta_y     Free           0.000027              0.000
 378  theta_z     Free          -0.000255              0.000
 379      u_x     Free             17.443            220.762
 380      u_y     Free            -37.961            968.781
 381      u_z     Free             19.572            831.293
 382  theta_x     Free          -0.000053              0.000
 383  theta_y     Free           0.000025              0.000
 384  theta_z     Free          -0.000372              0.000
 385      u_x     Free             12.925            220.762
 386      u_y     Free            -43.868            181.518
 387      u_z     Free              0.651           1565.440
 388  theta_x     Free          -0.000000              0.000
 389  theta_y     Free           0.000027              0.000
 390  theta_z     Free          -0.000255              0.000
 391      u_x     Free             18.174            220.762
 392      u_y     Free            -40.937            661.600
 393      u_z     Free             18.970            831.293
 394  theta_x     Free          -0.000053              0.000
 395  theta_y     Free           0.000025              0.000
 396  theta_z     Free          -0.000372              0.000
 397      u_x     Free             12.925            220.762
 398      u_y     Free            -45.718            -26.808
 399      u_z     Free              0.434           1544.360
 400  theta_x     Free          -0.000000              0.000
 401  theta_y     Free           0.000027              0.000
 402  theta_z     Free          -0.000255              0.000
 403      u_x     Free             18.905            220.762
 404      u_y     Free            -43.910            968.781
 405      u_z     Free             18.368            831.293
 406  theta_x     Free          -0.000053              0.000
 407  theta_y     Free           0.000025              0.000
 408  theta_z     Free          -0.000372              0.000
 409      u_x     Free             12.925            220.762
 410      u_y     Free            -47.547            444.577
 411      u_z     Free              0.217           1475.183
 412  theta_x     Free           0.000000              0.000
 413  theta_y     Free           0.000027              0.000
 414  theta_z     Free          -0.000255              0.000
 415      u_x     Free             19.898            220.762
 416      u_y     Free            -46.882            661.600
 417      u_z     Free             18.222            831.293
 418  theta_x     Free          -0.000053              0.000
 419  theta_y     Free           0.000025              0.000
 420  theta_z     Free          -0.000371              0.000
 421      u_x     Free             12.925           2228.352
 422      u_y     Free            -49.748             76.640
 423      u_z     Free              0.000           1355.684
 424  theta_x     Free           0.000000              0.000
 425  theta_y     Free           0.000027              0.000
 426  theta_z     Free          -0.000255              0.000
 427      u_x     Free             20.890           2228.352
 428      u_y     Free            -49.854           1185.990
 429      u_z     Free             18.077            831.293
 430  theta_x     Free          -0.000053              0.000
 431  theta_y     Free           0.000025              0.000
 432  theta_z     Free          -0.000371              0.000
 433      u_x     Free             12.414              0.000
 434      u_y     Free            -43.869           -605.118
 435      u_z     Free              0.651          -2553.613
 436  theta_x     Free          -0.000000              0.000
 437  theta_y     Free           0.000027              0.000
 438  theta_z     Free          -0.000255              0.000
 439      u_x     Free             11.903             78.611
 440      u_y     Free            -45.912          -1109.468
 441      u_z     Free              0.434           1751.306
 442  theta_x     Free          -0.000000              0.000
 443  theta_y     Free           0.000027              0.000
 444  theta_z     Free          -0.000255              0.000
 445      u_x     Free             10.881             98.038
 446      u_y     Free            -47.956          -1327.548
 447      u_z     Free              0.217           1682.129
 448  theta_x     Free           0.000000              0.000
 449  theta_y     Free           0.000027              0.000
 450  theta_z     Free          -0.000255              0.000
 451      u_x     Free              9.348            830.592
 452      u_y    Fixed            -50.000           2454.550
 453      u_z    Fixed              0.000         -23276.710
 454  theta_x     Free           0.000000              0.000
 455  theta_y     Free           0.000027              0.000
 456  theta_z     Free          -0.000255              0.000

=== ELEMENT RESULTS ===

E1 (Truss 3D)
u_global [mm,rad]: [0.000, 0.000, 0.000, 0.000263, 0.000027, -0.000256, 1.155, -8.344, 0.124, 0.000021, 0.000027, -0.000256]
v_local  [mm,rad]: [0.000, 0.000, 0.000, 0.000263, 0.000027, -0.000256, 1.155, -8.344, 0.124, 0.000021, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-301.448, 0.000, 0.000, 0.000, 0.000, 0.000, 301.448, 0.000, 0.000, 0.000, 0.000, 0.000]

E2 (Truss 3D)
u_global [mm,rad]: [7.397, -2.696, 23.517, -0.000054, 0.000025, -0.000377, 8.364, -5.715, 23.326, -0.000054, 0.000025, -0.000377]
v_local  [mm,rad]: [7.397, -2.696, 23.517, -0.000054, 0.000025, -0.000377, 8.364, -5.715, 23.326, -0.000054, 0.000025, -0.000377]
q_local  [kN,kN·m]: [-9.882, 0.000, 0.000, 0.000, 0.000, 0.000, 9.882, 0.000, 0.000, 0.000, 0.000, 0.000]

E3 (Truss 3D)
u_global [mm,rad]: [1.155, -8.344, 0.124, 0.000021, 0.000027, -0.000256, 2.310, -11.581, 0.249, -0.000007, 0.000027, -0.000256]
v_local  [mm,rad]: [1.155, -8.344, 0.124, 0.000021, 0.000027, -0.000256, 2.310, -11.581, 0.249, -0.000007, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-301.449, 0.000, 0.000, 0.000, 0.000, 0.000, 301.449, 0.000, 0.000, 0.000, 0.000, 0.000]

E4 (Truss 3D)
u_global [mm,rad]: [8.364, -5.715, 23.326, -0.000054, 0.000025, -0.000377, 9.330, -8.733, 23.135, -0.000054, 0.000025, -0.000377]
v_local  [mm,rad]: [8.364, -5.715, 23.326, -0.000054, 0.000025, -0.000377, 9.330, -8.733, 23.135, -0.000054, 0.000025, -0.000377]
q_local  [kN,kN·m]: [-9.882, 0.000, 0.000, 0.000, 0.000, 0.000, 9.882, 0.000, 0.000, 0.000, 0.000, 0.000]

E5 (Truss 3D)
u_global [mm,rad]: [2.310, -11.581, 0.249, -0.000007, 0.000027, -0.000256, 3.361, -14.408, 0.191, 0.000026, 0.000027, -0.000256]
v_local  [mm,rad]: [2.310, -11.581, 0.249, -0.000007, 0.000027, -0.000256, 3.361, -14.408, 0.191, 0.000026, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-140.503, 0.000, 0.000, 0.000, 0.000, 0.000, 140.503, 0.000, 0.000, 0.000, 0.000, 0.000]

E6 (Truss 3D)
u_global [mm,rad]: [9.330, -8.733, 23.135, -0.000054, 0.000025, -0.000377, 10.090, -11.748, 22.583, -0.000054, 0.000025, -0.000377]
v_local  [mm,rad]: [9.330, -8.733, 23.135, -0.000054, 0.000025, -0.000377, 10.090, -11.748, 22.583, -0.000054, 0.000025, -0.000377]
q_local  [kN,kN·m]: [308.993, 0.000, 0.000, 0.000, 0.000, 0.000, -308.993, 0.000, 0.000, 0.000, 0.000, 0.000]

E7 (Truss 3D)
u_global [mm,rad]: [3.361, -14.408, 0.191, 0.000026, 0.000027, -0.000256, 4.412, -17.707, 0.133, -0.000012, 0.000027, -0.000256]
v_local  [mm,rad]: [3.361, -14.408, 0.191, 0.000026, 0.000027, -0.000256, 4.412, -17.707, 0.133, -0.000012, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-140.502, 0.000, 0.000, 0.000, 0.000, 0.000, 140.502, 0.000, 0.000, 0.000, 0.000, 0.000]

E8 (Truss 3D)
u_global [mm,rad]: [10.090, -11.748, 22.583, -0.000054, 0.000025, -0.000377, 10.850, -14.761, 22.031, -0.000054, 0.000025, -0.000376]
v_local  [mm,rad]: [10.090, -11.748, 22.583, -0.000054, 0.000025, -0.000377, 10.850, -14.761, 22.031, -0.000054, 0.000025, -0.000376]
q_local  [kN,kN·m]: [308.993, 0.000, 0.000, 0.000, 0.000, 0.000, -308.993, 0.000, 0.000, 0.000, 0.000, 0.000]

E9 (Truss 3D)
u_global [mm,rad]: [4.412, -17.707, 0.133, -0.000012, 0.000027, -0.000256, 5.400, -20.412, -0.035, 0.000023, 0.000027, -0.000256]
v_local  [mm,rad]: [4.412, -17.707, 0.133, -0.000012, 0.000027, -0.000256, 5.400, -20.412, -0.035, 0.000023, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-43.507, 0.000, 0.000, 0.000, 0.000, 0.000, 43.507, 0.000, 0.000, 0.000, 0.000, 0.000]

E10 (Truss 3D)
u_global [mm,rad]: [10.850, -14.761, 22.031, -0.000054, 0.000025, -0.000376, 11.670, -17.770, 21.584, -0.000054, 0.000025, -0.000376]
v_local  [mm,rad]: [10.850, -14.761, 22.031, -0.000054, 0.000025, -0.000376, 11.670, -17.770, 21.584, -0.000054, 0.000025, -0.000376]
q_local  [kN,kN·m]: [216.106, 0.000, 0.000, 0.000, 0.000, 0.000, -216.106, 0.000, 0.000, 0.000, 0.000, 0.000]

E11 (Truss 3D)
u_global [mm,rad]: [5.400, -20.412, -0.035, 0.000023, 0.000027, -0.000256, 6.388, -23.666, -0.203, -0.000010, 0.000027, -0.000256]
v_local  [mm,rad]: [5.400, -20.412, -0.035, 0.000023, 0.000027, -0.000256, 6.388, -23.666, -0.203, -0.000010, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-43.507, 0.000, 0.000, 0.000, 0.000, 0.000, 43.507, 0.000, 0.000, 0.000, 0.000, 0.000]

E12 (Truss 3D)
u_global [mm,rad]: [11.670, -17.770, 21.584, -0.000054, 0.000025, -0.000376, 12.491, -20.775, 21.138, -0.000054, 0.000025, -0.000375]
v_local  [mm,rad]: [11.670, -17.770, 21.584, -0.000054, 0.000025, -0.000376, 12.491, -20.775, 21.138, -0.000054, 0.000025, -0.000375]
q_local  [kN,kN·m]: [216.106, 0.000, 0.000, 0.000, 0.000, 0.000, -216.106, 0.000, 0.000, 0.000, 0.000, 0.000]

E13 (Truss 3D)
u_global [mm,rad]: [6.388, -23.666, -0.203, -0.000010, 0.000027, -0.000256, 7.363, -26.421, -0.394, 0.000024, 0.000027, -0.000256]
v_local  [mm,rad]: [6.388, -23.666, -0.203, -0.000010, 0.000027, -0.000256, 7.363, -26.421, -0.394, 0.000024, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-22.957, 0.000, 0.000, 0.000, 0.000, 0.000, 22.957, 0.000, 0.000, 0.000, 0.000, 0.000]

E14 (Truss 3D)
u_global [mm,rad]: [12.491, -20.775, 21.138, -0.000054, 0.000025, -0.000375, 13.326, -23.775, 20.718, -0.000054, 0.000025, -0.000375]
v_local  [mm,rad]: [12.491, -20.775, 21.138, -0.000054, 0.000025, -0.000375, 13.326, -23.775, 20.718, -0.000054, 0.000025, -0.000375]
q_local  [kN,kN·m]: [191.898, 0.000, 0.000, 0.000, 0.000, 0.000, -191.898, 0.000, 0.000, 0.000, 0.000, 0.000]

E15 (Truss 3D)
u_global [mm,rad]: [7.363, -26.421, -0.394, 0.000024, 0.000027, -0.000256, 8.338, -29.674, -0.585, -0.000011, 0.000027, -0.000256]
v_local  [mm,rad]: [7.363, -26.421, -0.394, 0.000024, 0.000027, -0.000256, 8.338, -29.674, -0.585, -0.000011, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-22.957, 0.000, 0.000, 0.000, 0.000, 0.000, 22.957, 0.000, 0.000, 0.000, 0.000, 0.000]

E16 (Truss 3D)
u_global [mm,rad]: [13.326, -23.775, 20.718, -0.000054, 0.000025, -0.000375, 14.162, -26.771, 20.299, -0.000054, 0.000025, -0.000374]
v_local  [mm,rad]: [13.326, -23.775, 20.718, -0.000054, 0.000025, -0.000375, 14.162, -26.771, 20.299, -0.000054, 0.000025, -0.000374]
q_local  [kN,kN·m]: [191.897, 0.000, 0.000, 0.000, 0.000, 0.000, -191.897, 0.000, 0.000, 0.000, 0.000, 0.000]

E17 (Truss 3D)
u_global [mm,rad]: [8.338, -29.674, -0.585, -0.000011, 0.000027, -0.000256, 9.342, -32.443, -0.725, 0.000029, 0.000027, -0.000256]
v_local  [mm,rad]: [8.338, -29.674, -0.585, -0.000011, 0.000027, -0.000256, 9.342, -32.443, -0.725, 0.000029, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-67.835, 0.000, 0.000, 0.000, 0.000, 0.000, 67.835, 0.000, 0.000, 0.000, 0.000, 0.000]

E18 (Truss 3D)
u_global [mm,rad]: [14.162, -26.771, 20.299, -0.000054, 0.000025, -0.000374, 14.961, -29.761, 19.815, -0.000054, 0.000025, -0.000373]
v_local  [mm,rad]: [14.162, -26.771, 20.299, -0.000054, 0.000025, -0.000374, 14.961, -29.761, 19.815, -0.000054, 0.000025, -0.000373]
q_local  [kN,kN·m]: [249.051, 0.000, 0.000, 0.000, 0.000, 0.000, -249.051, 0.000, 0.000, 0.000, 0.000, 0.000]

E19 (Truss 3D)
u_global [mm,rad]: [9.342, -32.443, -0.725, 0.000029, 0.000027, -0.000256, 10.346, -35.767, -0.865, -0.000017, 0.000027, -0.000256]
v_local  [mm,rad]: [9.342, -32.443, -0.725, 0.000029, 0.000027, -0.000256, 10.346, -35.767, -0.865, -0.000017, 0.000027, -0.000256]
q_local  [kN,kN·m]: [-67.835, 0.000, 0.000, 0.000, 0.000, 0.000, 67.835, 0.000, 0.000, 0.000, 0.000, 0.000]

E20 (Truss 3D)
u_global [mm,rad]: [14.961, -29.761, 19.815, -0.000054, 0.000025, -0.000373, 15.760, -32.747, 19.330, -0.000053, 0.000025, -0.000373]
